date,close,市盈率,市盈率估值,市净率,市净率估值
2014-10-29,23819.871,9.25,正常,1.28,偏高
2014-10-30,23699.59,9.17,正常,1.27,偏高
2014-10-31,23998.061,9.29,正常,1.28,偏高
2014-11-03,23915.969,9.24,正常,1.27,偏高
2014-11-04,23845.66,9.23,正常,1.27,偏高
2014-11-05,23695.619,9.15,正常,1.26,偏高
2014-11-06,23649.311,9.12,正常,1.26,偏高
2014-11-07,23550.24,9.08,正常,1.25,偏高
2014-11-10,23744.701,9.14,正常,1.26,偏高
2014-11-11,23808.279,9.14,正常,1.26,偏高
2014-11-12,23942.01,9.19,正常,1.26,偏高
2014-11-13,24019.94,9.2,正常,1.27,偏高
2014-11-14,24087.379,9.21,正常,1.27,偏高
2014-11-17,23797.08,9.1,正常,1.25,偏高
2014-11-18,23529.17,9.01,低估,1.24,偏高
2014-11-19,23368.461,8.94,低估,1.23,偏高
2014-11-20,23349.641,8.94,低估,1.23,偏高
2014-11-21,23437.119,8.99,低估,1.24,偏高
2014-11-24,23893.139,9.21,正常,1.27,偏高
2014-11-25,23843.91,9.17,正常,1.26,偏高
2014-11-26,24111.981,9.28,正常,1.28,偏高
2014-11-27,24004.279,9.25,正常,1.27,偏高
2014-11-28,23987.449,9.26,正常,1.27,偏高
2014-12-01,23367.449,9.0,低估,1.24,偏高
2014-12-02,23667.26,9.15,正常,1.26,偏高
2014-12-03,23428.621,9.05,正常,1.25,偏高
2014-12-04,23832.561,9.29,正常,1.28,偏高
2014-12-05,24002.641,9.36,正常,1.29,偏高
2014-12-08,24047.67,9.37,正常,1.3,偏高
2014-12-09,23485.83,9.09,正常,1.26,偏高
2014-12-10,23524.52,9.1,正常,1.26,偏高
2014-12-11,23312.541,9.02,低估,1.25,偏高
2014-12-12,23245.561,8.99,低估,1.25,偏高
2014-12-15,23027.85,8.93,低估,1.24,偏高
2014-12-16,22670.5,8.81,低估,1.22,偏高
2014-12-17,22585.84,8.82,低估,1.22,偏高
2014-12-18,22832.209,8.92,低估,1.24,偏高
2014-12-19,23118.59,9.0,低估,1.25,偏高
2014-12-22,23408.57,9.18,正常,1.27,偏高
2014-12-23,23333.69,9.13,正常,1.27,偏高
2014-12-24,23349.34,9.12,正常,1.26,偏高
2014-12-29,23773.182,9.32,正常,1.29,偏高
2014-12-30,23501.102,9.19,正常,1.27,偏高
2014-12-31,23605.039,9.25,正常,1.28,偏高
2015-01-02,23857.82,9.38,正常,1.3,偏高
2015-01-05,23721.32,9.35,正常,1.3,偏高
2015-01-06,23485.41,9.26,正常,1.28,偏高
2015-01-07,23681.262,9.34,正常,1.29,偏高
2015-01-08,23835.529,9.4,正常,1.3,偏高
2015-01-09,23919.949,9.43,正常,1.31,高估
2015-01-12,24026.461,9.45,正常,1.31,高估
2015-01-13,24215.969,9.52,正常,1.32,高估
2015-01-14,24112.6,9.48,正常,1.31,高估
2015-01-15,24350.91,9.59,正常,1.33,高估
2015-01-16,24103.52,9.5,正常,1.32,高估
2015-01-19,23738.49,9.28,正常,1.29,偏高
2015-01-20,23951.16,9.39,正常,1.3,偏高
2015-01-21,24352.58,9.57,正常,1.33,高估
2015-01-22,24522.631,9.64,正常,1.34,高估
2015-01-23,24850.449,9.78,偏高,1.36,高估
2015-01-26,24909.9,9.76,偏高,1.35,高估
